value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
1038,,,𒐞 𒐛 𒌋 𒐍,,,,,
1039,,,𒐞 𒐛 𒌋 𒑆,,,,,
104,,𒐕𒐏𒐉,𒐕 𒐏 𒐉,𒐕𒐏𒐉,,,,
1040,,,𒐞 𒐛 𒌋𒌋,,,,,
1041,,,𒐞 𒐛 𒌋𒌋 𒁹,,,,,
1042,,,𒐞 𒐛 𒌋𒌋 𒈫,,,,,
1043,,,𒐞 𒐛 𒌋𒌋 𒐈,,,,,
1044,,,𒐞 𒐛 𒌋𒌋 𒐉,,,,,
1045,,,𒐞 𒐛 𒌋𒌋 𒐊,,,,,
1046,,,𒐞 𒐛 𒌋𒌋 𒐋,,,,,
1047,,,𒐞 𒐛 𒌋𒌋 𒐌,,,,,
1048,,,𒐞 𒐛 𒌋𒌋 𒐍,,,,,
1049,,,𒐞 𒐛 𒌋𒌋 𒑆,,,,,
105,,,𒐕 𒐏 𒐊,,,,,
1050,,,𒐞 𒐛 𒌍,,,,,
1051,,,𒐞 𒐛 𒌍 𒁹,,,,,
1052,,,𒐞 𒐛 𒌍 𒈫,,,,,
1053,,,𒐞 𒐛 𒌍 𒐈,,,,,
1054,,,𒐞 𒐛 𒌍 𒐉,,,,,
1055,,,𒐞 𒐛 𒌍 𒐊,,,,,
1056,,,𒐞 𒐛 𒌍 𒐋,,,,,
1057,,,𒐞 𒐛 𒌍 𒐌,,,,,
1058,,,𒐞 𒐛 𒌍 𒐍,,,,,
1059,,,𒐞 𒐛 𒌍 𒑆,,,,,
106,,,𒐕 𒐏 𒐋,,,,,
1060,,,𒐞 𒐛 𒐏,,,,,
1061,,,𒐞 𒐛 𒐏 𒁹,,,,,
1062,,,𒐞 𒐛 𒐏 𒈫,,,,,
1063,,,𒐞 𒐛 𒐏 𒐈,,,,,
1064,,,𒐞 𒐛 𒐏 𒐉,,,,,
1065,,,𒐞 𒐛 𒐏 𒐊,,,,,
1066,,,𒐞 𒐛 𒐏 𒐋,,,,,
1067,,,𒐞 𒐛 𒐏 𒐌,,,,,
1068,,,𒐞 𒐛 𒐏 𒐍,,,,,
1069,,,𒐞 𒐛 𒐏 𒑆,,,,,
107,,,𒐕 𒐏 𒐌,,,,,
1070,,,𒐞 𒐛 𒐐,,,,,
1071,,,𒐞 𒐛 𒐐 𒁹,,,,,
1072,,,𒐞 𒐛 𒐐 𒈫,,,,,
1073,,,𒐞 𒐛 𒐐 𒐈,,,,,
1074,,,𒐞 𒐛 𒐐 𒐉,,,,,
1075,,,𒐞 𒐛 𒐐 𒐊,,,,,
1076,,,𒐞 𒐛 𒐐 𒐋,,,,,
1077,,,𒐞 𒐛 𒐐 𒐌,,,,,
1078,,,𒐞 𒐛 𒐐 𒐍,,,,,
1079,,,𒐞 𒐛 𒐐 𒑆,,,,,
108,,,𒐕 𒐏 𒐍,,,,,
1080,,,𒐞 𒐜,,,,,
